resource_id,title,description,domain,resource_type,difficulty,duration_minutes,url,tags,created_at
24,Rumble in the Bronx (1995),Educational resource: Rumble in the Bronx (1995),General,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Hong%20Faan%20Kui%20(1995),Action|Adventure|Crime,1996-01-01T00:00:00
25,"Birdcage, The (1996)","Educational resource: Birdcage, The (1996)",Literature,Video,Intermediate,120,"http://us.imdb.com/M/title-exact?Birdcage,%20The%20(1996)",Comedy,1996-01-01T00:00:00
26,"Brothers McMullen, The (1995)","Educational resource: Brothers McMullen, The (1995)",Literature,Video,Intermediate,120,"http://us.imdb.com/M/title-exact?Brothers%20McMullen,%20The%20(1995)",Comedy,1995-01-01T00:00:00
27,Bad Boys (1995),Educational resource: Bad Boys (1995),General,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Bad%20Boys%20(1995),Action,1995-01-01T00:00:00
28,Apollo 13 (1995),Educational resource: Apollo 13 (1995),General,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Apollo%2013%20(1995),Action|Drama|Thriller,1995-01-01T00:00:00
29,Batman Forever (1995),Educational resource: Batman Forever (1995),General,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Batman%20Forever%20(1995),Action|Adventure|Comedy|Crime,1995-01-01T00:00:00
30,Belle de jour (1967),Educational resource: Belle de jour (1967),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Belle%20de%20jour%20(1967),Drama,1967-01-01T00:00:00
31,Crimson Tide (1995),Educational resource: Crimson Tide (1995),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Crimson%20Tide%20(1995),Drama|Thriller|War,1995-01-01T00:00:00
32,Crumb (1994),Educational resource: Crumb (1994),History,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Crumb%20(1994),Documentary,1994-01-01T00:00:00
33,Desperado (1995),Educational resource: Desperado (1995),General,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Desperado%20(1995),Action|Romance|Thriller,1995-01-01T00:00:00
34,"Doom Generation, The (1995)","Educational resource: Doom Generation, The (1995)",Literature,Video,Intermediate,120,"http://us.imdb.com/M/title-exact?Doom%20Generation,%20The%20(1995)",Comedy|Drama,1995-01-01T00:00:00
35,Free Willy 2: The Adventure Home (1995),Educational resource: Free Willy 2: The Adventure Home (1995),General,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Free%20Willy%202:%20The%20Adventure%20Home%20(1995),Adventure|Children's|Drama,1995-01-01T00:00:00
36,Mad Love (1995),Educational resource: Mad Love (1995),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Mad%20Love%20(1995),Drama|Romance,1995-01-01T00:00:00
37,Nadja (1994),Educational resource: Nadja (1994),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Nadja%20(1994),Drama,1994-01-01T00:00:00
38,"Net, The (1995)","Educational resource: Net, The (1995)",Physics,Video,Intermediate,120,"http://us.imdb.com/M/title-exact?Net,%20The%20(1995)",Sci-Fi|Thriller,1995-01-01T00:00:00
39,Strange Days (1995),Educational resource: Strange Days (1995),General,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Strange%20Days%20(1995),Action|Crime|Sci-Fi,1995-01-01T00:00:00
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)","Educational resource: To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Literature,Video,Intermediate,120,"http://us.imdb.com/M/title-exact?To%20Wong%20Foo,%20Thanks%20for%20Everything!%20Julie%20Newmar%20(1995)",Comedy,1995-01-01T00:00:00
41,Billy Madison (1995),Educational resource: Billy Madison (1995),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Billy%20Madison%20(1995),Comedy,1995-01-01T00:00:00
42,Clerks (1994),Educational resource: Clerks (1994),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Clerks%20(1994),Comedy,1994-01-01T00:00:00
43,Disclosure (1994),Educational resource: Disclosure (1994),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Disclosure%20(1994),Drama|Thriller,1994-01-01T00:00:00
44,Dolores Claiborne (1994),Educational resource: Dolores Claiborne (1994),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Dolores%20Claiborne%20(1994),Drama|Thriller,1994-01-01T00:00:00
45,Eat Drink Man Woman (1994),Educational resource: Eat Drink Man Woman (1994),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Yinshi%20Nan%20Nu%20(1994),Comedy|Drama,1994-01-01T00:00:00
46,Exotica (1994),Educational resource: Exotica (1994),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Exotica%20(1994),Drama,1994-01-01T00:00:00
47,Ed Wood (1994),Educational resource: Ed Wood (1994),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Ed%20Wood%20(1994),Comedy|Drama,1994-01-01T00:00:00
48,Hoop Dreams (1994),Educational resource: Hoop Dreams (1994),History,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Hoop%20Dreams%20(1994),Documentary,1994-01-01T00:00:00
49,I.Q. (1994),Educational resource: I.Q. (1994),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?I.Q.%20(1994),Comedy|Romance,1994-01-01T00:00:00
50,Star Wars (1977),Educational resource: Star Wars (1977),General,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Star%20Wars%20(1977),Action|Adventure|Romance|Sci-Fi|War,1977-01-01T00:00:00
51,Legends of the Fall (1994),Educational resource: Legends of the Fall (1994),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Legends%20of%20the%20Fall%20(1994),Drama|Romance|War|Western,1994-01-01T00:00:00
52,"Madness of King George, The (1994)","Educational resource: Madness of King George, The (1994)",Literature,Video,Intermediate,120,"http://us.imdb.com/M/title-exact?Madness%20of%20King%20George,%20The%20(1994)",Drama,1994-01-01T00:00:00
53,Natural Born Killers (1994),Educational resource: Natural Born Killers (1994),General,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Natural%20Born%20Killers%20(1994),Action|Thriller,1994-01-01T00:00:00
54,Outbreak (1995),Educational resource: Outbreak (1995),General,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Outbreak%20(1995),Action|Drama|Thriller,1995-01-01T00:00:00
55,"Professional, The (1994)","Educational resource: Professional, The (1994)",History,Video,Intermediate,120,http://us.imdb.com/Title?L%E9on+(1994),Crime|Drama|Romance|Thriller,1994-01-01T00:00:00
56,Pulp Fiction (1994),Educational resource: Pulp Fiction (1994),History,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Pulp%20Fiction%20(1994),Crime|Drama,1994-01-01T00:00:00
57,Priest (1994),Educational resource: Priest (1994),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Priest%20(1994),Drama,1994-01-01T00:00:00
58,Quiz Show (1994),Educational resource: Quiz Show (1994),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Quiz%20Show%20(1994),Drama,1994-01-01T00:00:00
59,Three Colors: Red (1994),Educational resource: Three Colors: Red (1994),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Trzy%20kolory:%20Czerwony%20(1994),Drama,1994-01-01T00:00:00
60,Three Colors: Blue (1993),Educational resource: Three Colors: Blue (1993),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Trzy%20kolory:%20Niebieski%20(1993),Drama,1993-01-01T00:00:00
61,Three Colors: White (1994),Educational resource: Three Colors: White (1994),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Trzy%20kolory:%20Bialy%20(1994),Drama,1994-01-01T00:00:00
62,Stargate (1994),Educational resource: Stargate (1994),General,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Stargate%20(1994),Action|Adventure|Sci-Fi,1994-01-01T00:00:00
63,"Santa Clause, The (1994)","Educational resource: Santa Clause, The (1994)",General,Video,Intermediate,120,"http://us.imdb.com/M/title-exact?Santa%20Clause,%20The%20(1994)",Children's|Comedy,1994-01-01T00:00:00
64,"Shawshank Redemption, The (1994)","Educational resource: Shawshank Redemption, The (1994)",Literature,Video,Intermediate,120,"http://us.imdb.com/M/title-exact?Shawshank%20Redemption,%20The%20(1994)",Drama,1994-01-01T00:00:00
65,What's Eating Gilbert Grape (1993),Educational resource: What's Eating Gilbert Grape (1993),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?What's%20Eating%20Gilbert%20Grape%20(1993),Comedy|Drama,1993-01-01T00:00:00
66,While You Were Sleeping (1995),Educational resource: While You Were Sleeping (1995),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?While%20You%20Were%20Sleeping%20(1995),Comedy|Romance,1995-01-01T00:00:00
67,Ace Ventura: Pet Detective (1994),Educational resource: Ace Ventura: Pet Detective (1994),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Ace%20Ventura:%20Pet%20Detective%20(1994),Comedy,1994-01-01T00:00:00
68,"Crow, The (1994)","Educational resource: Crow, The (1994)",General,Video,Intermediate,120,"http://us.imdb.com/M/title-exact?Crow,%20The%20(1994)",Action|Romance|Thriller,1994-01-01T00:00:00
69,Forrest Gump (1994),Educational resource: Forrest Gump (1994),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Forrest%20Gump%20(1994),Comedy|Romance|War,1994-01-01T00:00:00
70,Four Weddings and a Funeral (1994),Educational resource: Four Weddings and a Funeral (1994),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Four%20Weddings%20and%20a%20Funeral%20(1994),Comedy|Romance,1994-01-01T00:00:00
71,"Lion King, The (1994)","Educational resource: Lion King, The (1994)",Art,Video,Intermediate,120,"http://us.imdb.com/M/title-exact?Lion%20King,%20The%20(1994)",Animation|Children's|Musical,1994-01-01T00:00:00
72,"Mask, The (1994)","Educational resource: Mask, The (1994)",Literature,Video,Intermediate,120,"http://us.imdb.com/M/title-exact?Mask,%20The%20(1994)",Comedy|Crime|Fantasy,1994-01-01T00:00:00
73,Maverick (1994),Educational resource: Maverick (1994),General,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Maverick%20(1994),Action|Comedy|Western,1994-01-01T00:00:00
74,Faster Pussycat! Kill! Kill! (1965),Educational resource: Faster Pussycat! Kill! Kill! (1965),General,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Faster%20Pussycat!%20Kill!%20Kill!%20(1965),Action|Comedy|Drama,1965-01-01T00:00:00
75,Brother Minister: The Assassination of Malcolm X (1994),Educational resource: Brother Minister: The Assassination of Malcolm X (1994),History,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Brother%20Minister:%20The%20Assassination%20of%20Malcolm%20X%20(1994),Documentary,1994-01-01T00:00:00
76,Carlito's Way (1993),Educational resource: Carlito's Way (1993),History,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Carlito's%20Way%20(1993),Crime|Drama,1993-01-01T00:00:00
77,"Firm, The (1993)","Educational resource: Firm, The (1993)",Literature,Video,Intermediate,120,"http://us.imdb.com/M/title-exact?Firm,%20The%20(1993)",Drama|Thriller,1993-01-01T00:00:00
78,Free Willy (1993),Educational resource: Free Willy (1993),General,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Free%20Willy%20(1993),Adventure|Children's|Drama,1993-01-01T00:00:00
79,"Fugitive, The (1993)","Educational resource: Fugitive, The (1993)",General,Video,Intermediate,120,"http://us.imdb.com/M/title-exact?Fugitive,%20The%20(1993)",Action|Thriller,1993-01-01T00:00:00
80,Hot Shots! Part Deux (1993),Educational resource: Hot Shots! Part Deux (1993),General,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Hot%20Shots!%20Part%20Deux%20(1993),Action|Comedy|War,1993-01-01T00:00:00
81,"Hudsucker Proxy, The (1994)","Educational resource: Hudsucker Proxy, The (1994)",Literature,Video,Intermediate,120,"http://us.imdb.com/M/title-exact?Hudsucker%20Proxy,%20The%20(1994)",Comedy|Romance,1994-01-01T00:00:00
82,Jurassic Park (1993),Educational resource: Jurassic Park (1993),General,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Jurassic%20Park%20(1993),Action|Adventure|Sci-Fi,1993-01-01T00:00:00
83,Much Ado About Nothing (1993),Educational resource: Much Ado About Nothing (1993),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Much%20Ado%20About%20Nothing%20(1993),Comedy|Romance,1993-01-01T00:00:00
84,Robert A. Heinlein's The Puppet Masters (1994),Educational resource: Robert A. Heinlein's The Puppet Masters (1994),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Robert%20A.%20Heinlein's%20The%20Puppet%20Masters%20(1994),Horror|Sci-Fi,1994-01-01T00:00:00
85,"Ref, The (1994)","Educational resource: Ref, The (1994)",Literature,Video,Intermediate,120,"http://us.imdb.com/M/title-exact?Ref,%20The%20(1994)",Comedy,1994-01-01T00:00:00
86,"Remains of the Day, The (1993)","Educational resource: Remains of the Day, The (1993)",Literature,Video,Intermediate,120,"http://us.imdb.com/M/title-exact?Remains%20of%20the%20Day,%20The%20(1993)",Drama,1993-01-01T00:00:00
87,Searching for Bobby Fischer (1993),Educational resource: Searching for Bobby Fischer (1993),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Searching%20for%20Bobby%20Fischer%20(1993),Drama,1993-01-01T00:00:00
88,Sleepless in Seattle (1993),Educational resource: Sleepless in Seattle (1993),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Sleepless%20in%20Seattle%20(1993),Comedy|Romance,1993-01-01T00:00:00
89,Blade Runner (1982),Educational resource: Blade Runner (1982),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Blade%20Runner%20(1982),Film-Noir|Sci-Fi,1982-01-01T00:00:00
90,So I Married an Axe Murderer (1993),Educational resource: So I Married an Axe Murderer (1993),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?So%20I%20Married%20an%20Axe%20Murderer%20(1993),Comedy|Romance|Thriller,1993-01-01T00:00:00
91,"Nightmare Before Christmas, The (1993)","Educational resource: Nightmare Before Christmas, The (1993)",General,Video,Intermediate,120,"http://us.imdb.com/M/title-exact?Nightmare%20Before%20Christmas,%20The%20(1993)",Children's|Comedy|Musical,1993-01-01T00:00:00
92,True Romance (1993),Educational resource: True Romance (1993),General,Video,Intermediate,120,http://us.imdb.com/M/title-exact?True%20Romance%20(1993),Action|Crime|Romance,1993-01-01T00:00:00
93,Welcome to the Dollhouse (1995),Educational resource: Welcome to the Dollhouse (1995),Literature,Video,Intermediate,120,http://us.imdb.com/Title?Welcome+to+the+Dollhouse+(1995),Comedy|Drama,1996-01-01T00:00:00
94,Home Alone (1990),Educational resource: Home Alone (1990),General,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Home%20Alone%20(1990),Children's|Comedy,1990-01-01T00:00:00
95,Aladdin (1992),Educational resource: Aladdin (1992),Art,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Aladdin%20(1992),Animation|Children's|Comedy|Musical,1992-01-01T00:00:00
96,Terminator 2: Judgment Day (1991),Educational resource: Terminator 2: Judgment Day (1991),General,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Terminator%202:%20Judgment%20Day%20(1991),Action|Sci-Fi|Thriller,1991-01-01T00:00:00
97,Dances with Wolves (1990),Educational resource: Dances with Wolves (1990),General,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Dances%20with%20Wolves%20(1990),Adventure|Drama|Western,1990-01-01T00:00:00
98,"Silence of the Lambs, The (1991)","Educational resource: Silence of the Lambs, The (1991)",Literature,Video,Intermediate,120,"http://us.imdb.com/M/title-exact?Silence%20of%20the%20Lambs,%20The%20(1991)",Drama|Thriller,1991-01-01T00:00:00
99,Snow White and the Seven Dwarfs (1937),Educational resource: Snow White and the Seven Dwarfs (1937),Art,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Snow%20White%20and%20the%20Seven%20Dwarfs%20(1937),Animation|Children's|Musical,1937-01-01T00:00:00
100,Fargo (1996),Educational resource: Fargo (1996),History,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Fargo%20(1996),Crime|Drama|Thriller,1997-01-01T00:00:00
101,Heavy Metal (1981),Educational resource: Heavy Metal (1981),General,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Heavy%20Metal%20(1981),Action|Adventure|Animation|Horror|Sci-Fi,1981-01-01T00:00:00
102,"Aristocats, The (1970)","Educational resource: Aristocats, The (1970)",Art,Video,Intermediate,120,"http://us.imdb.com/M/title-exact?Aristocats,%20The%20(1970)",Animation|Children's,1970-01-01T00:00:00
103,All Dogs Go to Heaven 2 (1996),Educational resource: All Dogs Go to Heaven 2 (1996),Art,Video,Intermediate,120,http://us.imdb.com/M/title-exact?All%20Dogs%20Go%20to%20Heaven%202%20(1996),Animation|Children's|Musical,1996-01-01T00:00:00
104,Theodore Rex (1995),Educational resource: Theodore Rex (1995),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Theodore%20Rex%20(1995),Comedy,1996-01-01T00:00:00
105,Sgt. Bilko (1996),Educational resource: Sgt. Bilko (1996),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Sgt.%20Bilko%20(1996),Comedy,1996-01-01T00:00:00
106,Diabolique (1996),Educational resource: Diabolique (1996),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Diabolique%20(1996),Drama|Thriller,1996-01-01T00:00:00
107,Moll Flanders (1996),Educational resource: Moll Flanders (1996),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Moll%20Flanders%20(1996),Drama,1996-01-01T00:00:00
108,Kids in the Hall: Brain Candy (1996),Educational resource: Kids in the Hall: Brain Candy (1996),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Kids%20in%20the%20Hall:%20Brain%20Candy%20(1996),Comedy,1996-01-01T00:00:00
109,Mystery Science Theater 3000: The Movie (1996),Educational resource: Mystery Science Theater 3000: The Movie (1996),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Mystery%20Science%20Theater%203000:%20The%20Movie%20(1996),Comedy|Sci-Fi,1996-01-01T00:00:00
110,Operation Dumbo Drop (1995),Educational resource: Operation Dumbo Drop (1995),General,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Operation%20Dumbo%20Drop%20(1995),Action|Adventure|Comedy|War,1995-01-01T00:00:00
111,"Truth About Cats & Dogs, The (1996)","Educational resource: Truth About Cats & Dogs, The (1996)",Literature,Video,Intermediate,120,"http://us.imdb.com/M/title-exact?Truth%20About%20Cats%20&%20Dogs,%20The%20(1996)",Comedy|Romance,1996-01-01T00:00:00
112,Flipper (1996),Educational resource: Flipper (1996),General,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Flipper%20(1996),Adventure|Children's,1996-01-01T00:00:00
113,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)","Educational resource: Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",Literature,Video,Intermediate,120,"http://us.imdb.com/M/title-exact?Hussard%20sur%20le%20toit,%20Le%20(1995)",Drama,1996-01-01T00:00:00
114,Wallace & Gromit: The Best of Aardman Animation (1996),Educational resource: Wallace & Gromit: The Best of Aardman Animation (1996),Art,Video,Intermediate,120,http://us.imdb.com/Title?Wallace+%26+Gromit%3A+The+Best+of+Aardman+Animation+(1996),Animation,1996-01-01T00:00:00
115,"Haunted World of Edward D. Wood Jr., The (1995)","Educational resource: Haunted World of Edward D. Wood Jr., The (1995)",History,Video,Intermediate,120,"http://us.imdb.com/Title?Haunted+World+of+Edward+D.+Wood+Jr.,+The+(1995)",Documentary,1996-01-01T00:00:00
116,Cold Comfort Farm (1995),Educational resource: Cold Comfort Farm (1995),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Cold%20Comfort%20Farm%20(1995)%20(TV),Comedy,1996-01-01T00:00:00
117,"Rock, The (1996)","Educational resource: Rock, The (1996)",General,Video,Intermediate,120,"http://us.imdb.com/M/title-exact?Rock,%20The%20(1996)",Action|Adventure|Thriller,1996-01-01T00:00:00
118,Twister (1996),Educational resource: Twister (1996),General,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Twister%20(1996),Action|Adventure|Thriller,1996-01-01T00:00:00
119,Maya Lin: A Strong Clear Vision (1994),Educational resource: Maya Lin: A Strong Clear Vision (1994),History,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Maya%20Lin:%20A%20Strong%20Clear%20Vision%20(1994),Documentary,1994-01-01T00:00:00
120,Striptease (1996),Educational resource: Striptease (1996),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Striptease%20(1996),Comedy|Crime,1996-01-01T00:00:00
121,Independence Day (ID4) (1996),Educational resource: Independence Day (ID4) (1996),General,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Independence%20Day%20(1996),Action|Sci-Fi|War,1996-01-01T00:00:00
122,"Cable Guy, The (1996)","Educational resource: Cable Guy, The (1996)",Literature,Video,Intermediate,120,"http://us.imdb.com/M/title-exact?Cable%20Guy,%20The%20(1996)",Comedy,1996-01-01T00:00:00
123,"Frighteners, The (1996)","Educational resource: Frighteners, The (1996)",Literature,Video,Intermediate,120,"http://us.imdb.com/M/title-exact?Frighteners,%20The%20(1996)",Comedy|Horror,1996-01-01T00:00:00
124,Lone Star (1996),Educational resource: Lone Star (1996),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Lone%20Star%20(1996),Drama|Mystery,1996-01-01T00:00:00
125,Phenomenon (1996),Educational resource: Phenomenon (1996),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Phenomenon%20(1996),Drama|Romance,1996-01-01T00:00:00
126,"Spitfire Grill, The (1996)","Educational resource: Spitfire Grill, The (1996)",Literature,Video,Intermediate,120,"http://us.imdb.com/M/title-exact?Spitfire%20Grill,%20The%20(1996)",Drama,1996-01-01T00:00:00
127,"Godfather, The (1972)","Educational resource: Godfather, The (1972)",General,Video,Intermediate,120,"http://us.imdb.com/M/title-exact?Godfather,%20The%20(1972)",Action|Crime|Drama,1972-01-01T00:00:00
128,Supercop (1992),Educational resource: Supercop (1992),General,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Police%20Story%20III:%20Supercop%20(1992),Action|Thriller,1996-01-01T00:00:00
129,Bound (1996),Educational resource: Bound (1996),History,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Bound%20(1996),Crime|Drama|Romance|Thriller,1996-01-01T00:00:00
130,Kansas City (1996),Educational resource: Kansas City (1996),History,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Kansas%20City%20(1996),Crime,1996-01-01T00:00:00
131,Breakfast at Tiffany's (1961),Educational resource: Breakfast at Tiffany's (1961),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Breakfast%20at%20Tiffany's%20(1961),Drama|Romance,1961-01-01T00:00:00
132,"Wizard of Oz, The (1939)","Educational resource: Wizard of Oz, The (1939)",General,Video,Intermediate,120,"http://us.imdb.com/M/title-exact?Wizard%20of%20Oz,%20The%20(1939)",Adventure|Children's|Drama|Musical,1939-01-01T00:00:00
